WOD code,NODC code,Platform Name
9956,35QL,ALBARQUEL (Yacht; c.s.FS7497;built 1957;MMSI No 228102900)
6300,90AL,ALBATROS
7913,35A7,ALBATROS (FALS)  08/30/1996
6185,77AL,ALBATROSS
1356,31AF,ALBATROSS (USFC STEAMER) 1882-1921
1362,31AL,ALBATROSS II 1926-1948
1352,31AB,ALBATROSS III 1948-2/20/59
1381,31A4,ALBATROSS IV (NOAA ship; call sign WMVF; built 1962; IMO7338690)
5229,54BZ,ALBERNI DAWN (ELAC5) 
4450,46AL,ALBERT
8907,58A3,ALBERT
2497,3158,ALBERT DAVID 
5216,54BK,ALBERTWILL (Call Sign D5NU)
1329,29LG,ALCALA GALIANO (D 24;built 1944;ex. Jarvis 1960 (USA);struck 12.1988)
2673,32A3,ALCHIBA
8802,18HH,ALCIDE C. HORTH (RV;b.1965;ex.Raymond Moore 90;r-dDominion Victory 04;IMO6522713
2662,32AS,ALCOA SEAPROBE
2653,32AJ,ALCONA
1774,31L2,ALCOR (Call Sign PCGV)
8826,35C5,ALCYON (Tug;call sign FUEH;built 1981;ex.Bahram 1988;IMO8104228)
4489,48AL,ALDA MADRE
2674,32A4,ALDEBARAN
782,18AD,ALDER POINT
8763,74FT,ALDGATE (STEAM SHIP - CIRCA 1896)
5287,57VA,ALEJANDRO DE HUMBOLDT (R/V; built 1971)
5566,65AH,ALEJERO HUMBOLDT
9130,65BB,ALEJO (fishing boat) 
6339,90BU,ALEKSANDR BORISOV (F/V;c.s.UTNT;built 06.1979;renamed MARLIN II 1998; IMO7703895
8096,90W1,ALEKSANDR NEVSKY (19th century Frigate)
6486,90ON,ALEKSANDR SMIRNOV (FORMERLY ORION)
9330,90JV,ALEKSANDR VLASOV
9282,90KI,ALEKSEY CHIRIKOV (R/V; active 1964 - 1994)
5645,74AL,ALERT
2648,32AE,ALEUTIAN (TB)
11114,33Y6,ALEX HALEY (USCGC;WMEC-39;c.s.NZPO;b.1968;comm-d 1999;ex.Edenton ATS-1 1996) 
1374,31AX,ALEXANDER AGASSIZ (Built 1944; re-d GOVERNOR RAY 1978;IMO7742358)
4064,35AX,ALEXANDRINE
7871,90Y3,ALFERAS (Call sign UHNA; built 1964; IMO 6726034)
472,08AM,ALFEREZ MACKINLAY
943,18NE,ALFRED NEEDLER (R/V;call sign CG2683;built 1982;IMO7907104)
4145,35FD,ALFRED VIEU (1930)
7002,903M,ALGAMA (F/V; call sign UMTL; built 1956; Vladivostok)
7378,18GL,ALGERINE
8684,91AL,ALGOA (FRV;c.s.ZR4311;b.1975;ex.Ludovic Jego 11.1991;IMO7410369)
795,18AQ,ALGONQUIN
8847,14AB,ALIANCA BRASIL (Call Sign PPSO)
4449,46AF,ALICE FREYMANN
4052,35AL,ALIDADE
31,CUAL,ALIOT (SRT-M-8005)
4065,35AY,ALIS (R/V; call sign FHQB; built 1987; IMO8806761)
194,06AK,ALKOR (R/V; call sign DBIG; service date 03/02/1966 - 04/19/1990)
9267,06A6,ALKOR (R/V; call sign DBND;built 05.1990; IMO8905880)
4363,36AL,ALKYONI
3545,32ZO,ALL STAR SR (TB)
2675,32A5,ALLAGASH
6749,9010,ALLAID
1357,31AG,ALLEGHENY
3669,323A,ALLEGIANCE
3615,321R,ALLEN
528,09AL,ALLUNGA
9491,CYAG,ALMA (Call sign P3MF8; built 08.1997; ex Frio Seattle 2004; IMO9140968)
7838,90YL,ALMAR
5619,68CA,ALMEIDA CARVALHO (A527; R/V; built 1969; active 1972-2001)
6747,08AB,ALMIRANTE BROWN (Call Sign LOBK)
757,14AC,ALMIRANTE CAMARA
9030,14GA,ALMIRANTE GRACA ARANHA (NHoF;H34;call sign PWGA;built 1976)
9310,14AM,ALMIRANTE GUILLOBEL (Call sign PWGL) 
471,08AI,ALMIRANTE IRIZAR
1064,20AM,ALMIRANTE JORGE MONTT (AO-52;c.s.CCAM;active 1982-97;ex.RFA Tidepool1963-82) 
5617,68AM,ALMIRANTE LACERDA
1314,29AL,ALMIRANTE LOBO
9914,14AA,ALMIRANTE MAXIMIANO (C.s.PWPM;built 1974;ex.OCEAN EMPRESS 2008;IMO7391264)
1092,22AP,ALMIRANTE PADIL
9993,14AH,ALMIRANTE SABOIA (Call sign PWSB; built 1967; IMO6617154)
762,14AS,ALMIRANTE SALDANHA
4046,35AF,ALMORAVIDE
6917,MUAF,ALMORAVIDE
9131,65BC,ALONDRA (fishing boat)
7253,337L,ALOTO
10555,14AI,ALPHA CRUCIS (Call sign PQ3082;built 1974;ex.Moana Wave;IMO7319008)
1626,31HX,ALPHA HELIX (R/V;call sign WSD7078;built 1966;IMO6600905)
7085,905R,ALPHERAS
4483,48AE,ALPINO
195,06AL,ALTAIR
5273,57AL,ALTAIR (FORMERLY GILLISS)
6294,90AF,ALTAIR (SRTM-80M)
2658,32AO,ALTAMAHA
9180,36AT,ALTEBARAN (Fishing vessel; operational July-August 1990)A
7779,90UX,ALTFATER
8153,99AA,ALTSESTE
185,06AB,ALSTER EXPRESS
7229,68AV,ALVAREZ CABRAL
1189,26AV,ALVILDE
8194,331B,AMADA
4570,49A8,AMAGI MARU
2885,32GZ,AMAK
4060,35AT,AMALTHEE (Call sign THLX; active 1939-1975; Naval vessel)
4553,49AQ,AMAMI
8908,58A4,AMANDA
143,SELA,AMARO LAURENT
7912,HOAM,AMAZON (HQFG8)  01/08/1990 TUG BOAT
10585,14AZ,AMAZONAS (NPaOc;P120;call sign PWAZ;built 06.2012;IMO9526394)
5261,55AM,AMBARIAKA
2656,32AM,AMBASSADOR
5059,49WD,AMBASSADOR BRIDGE
8495,CYAT,AMBITION (Call sign P3GU7 container ship)
